# time Temperature 
1 300
2 300
3 300.001
4 300.004
5 300.016
6 300.043
7 300.099
8 300.195
9 300.348
10 300.573
11 300.889
12 301.311
13 301.856
14 302.534
15 303.356
16 304.327
17 305.449
18 306.722
19 308.143
20 309.708
21 311.411
22 313.246
23 315.204
24 317.279
25 319.462
26 321.747
27 324.125
28 326.589
29 329.133
30 331.749
31 334.431
32 337.173
33 339.97
34 342.815
35 345.706
36 348.635
37 351.6
38 354.595
39 357.618
40 360.665
41 363.732
42 366.816
43 369.914
44 373.024
45 376.143
46 379.269
47 382.399
48 385.532
49 388.666
50 391.798
51 394.928
52 398.053
53 401.173
54 404.286
55 407.391
56 410.486
57 413.572
58 416.646
59 419.707
60 422.756
61 425.792
62 428.812
63 431.818
64 434.809
65 437.783
66 440.74
67 443.681
68 446.604
69 449.51
70 452.397
71 455.266
72 458.116
73 460.948
74 463.76
75 466.554
76 469.327
77 472.082
78 474.816
79 477.531
80 480.227
81 482.902
82 485.558
83 488.193
84 490.809
85 493.405
86 495.981
87 498.537
