# time Temperature 
1 307.239
2 314.402
3 321.488
4 328.5
5 335.437
6 342.301
7 349.091
8 355.811
9 362.459
10 369.037
11 375.545
12 381.983
13 388.353
14 394.654
15 400.886
16 407.05
17 413.145
18 419.172
19 425.13
20 431.02
21 436.842
22 442.596
23 448.282
24 453.901
25 459.453
26 464.938
27 470.357
28 475.711
29 480.999
30 486.222
31 491.382
32 496.477
33 501.51
34 506.48
35 511.389
36 516.236
37 521.023
38 525.75
39 530.418
40 535.027
41 539.579
42 544.073
43 548.511
44 552.893
45 557.22
46 561.493
47 565.712
48 569.877
49 573.991
50 578.052
51 582.063
52 586.022
53 589.933
54 593.217
55 593.313
56 593.409
57 593.505
58 593.601
59 593.697
60 593.793
61 593.889
62 593.984
63 594.08
64 594.176
65 594.271
66 594.366
67 594.462
68 594.557
69 594.652
70 594.748
71 594.843
72 594.938
73 595.033
74 595.128
75 595.223
76 595.318
77 595.413
78 595.508
79 595.602
80 595.697
81 595.791
82 595.886
83 595.981
84 596.075
85 596.169
86 596.264
87 596.358
88 596.452
89 596.546
90 596.64
91 596.734
92 596.828
93 596.922
94 597.016
95 597.11
96 597.204
97 597.298
98 597.391
99 597.485
100 597.578
101 597.672
102 597.765
103 597.859
104 597.952
105 598.045
106 598.138
107 598.232
108 598.325
109 598.418
110 598.511
111 598.604
